model,2024-07-02 00:00:00,2024-07-03 00:00:00,2024-07-04 00:00:00,2024-07-05 00:00:00,2024-07-06 00:00:00,2024-07-07 00:00:00,2024-07-08 00:00:00,2024-07-09 00:00:00,2024-07-10 00:00:00,2024-07-11 00:00:00,2024-07-12 00:00:00,2024-07-13 00:00:00,2024-07-14 00:00:00,2024-07-15 00:00:00,2024-07-16 00:00:00,2024-07-17 00:00:00,2024-07-18 00:00:00,2024-07-19 00:00:00,2024-07-20 00:00:00,2024-07-21 00:00:00,2024-07-22 00:00:00,2024-07-23 00:00:00,2024-07-24 00:00:00,2024-07-25 00:00:00,2024-07-26 00:00:00,2024-07-27 00:00:00,2024-07-28 00:00:00,2024-07-29 00:00:00,2024-07-30 00:00:00,2024-07-31 00:00:00,2024-08-01 00:00:00,2024-08-02 00:00:00,2024-08-03 00:00:00,2024-08-04 00:00:00,2024-08-05 00:00:00,2024-08-06 00:00:00,2024-08-07 00:00:00,2024-08-08 00:00:00,2024-08-09 00:00:00,2024-08-10 00:00:00,2024-08-11 00:00:00,2024-08-12 00:00:00,2024-08-13 00:00:00,2024-08-14 00:00:00,2024-08-15 00:00:00,2024-08-16 00:00:00,2024-08-17 00:00:00,2024-08-18 00:00:00,2024-08-19 00:00:00,2024-08-20 00:00:00,2024-08-21 00:00:00,2024-08-22 00:00:00,2024-08-23 00:00:00,2024-08-24 00:00:00,2024-08-25 00:00:00,2024-08-26 00:00:00,2024-08-27 00:00:00,2024-08-28 00:00:00,2024-08-29 00:00:00,2024-08-30 00:00:00,2024-08-31 00:00:00,2024-09-01 00:00:00,2024-09-02 00:00:00,2024-09-03 00:00:00,2024-09-04 00:00:00,2024-09-05 00:00:00,2024-09-06 00:00:00,2024-09-07 00:00:00,2024-09-08 00:00:00,2024-09-09 00:00:00,2024-09-10 00:00:00,2024-09-11 00:00:00,2024-09-12 00:00:00,2024-09-13 00:00:00,2024-09-14 00:00:00,2024-09-15 00:00:00,2024-09-16 00:00:00,2024-09-17 00:00:00,2024-09-18 00:00:00,2024-09-19 00:00:00,2024-09-20 00:00:00,2024-09-21 00:00:00,2024-09-22 00:00:00,2024-09-23 00:00:00,2024-09-24 00:00:00,2024-09-25 00:00:00,2024-09-26 00:00:00,2024-09-27 00:00:00,2024-09-28 00:00:00,2024-09-29 00:00:00,2024-09-30 00:00:00,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-10-03 00:00:00,2024-10-04 00:00:00,2024-10-05 00:00:00,2024-10-06 00:00:00,2024-10-07 00:00:00,2024-10-08 00:00:00,2024-10-09 00:00:00,2024-10-10 00:00:00,2024-10-11 00:00:00,2024-10-12 00:00:00,2024-10-13 00:00:00,2024-10-14 00:00:00,2024-10-15 00:00:00,2024-10-16 00:00:00,2024-10-17 00:00:00,2024-10-18 00:00:00,2024-10-19 00:00:00,2024-10-20 00:00:00,2024-10-21 00:00:00,2024-10-22 00:00:00,2024-10-23 00:00:00,2024-10-24 00:00:00,2024-10-25 00:00:00,2024-10-26 00:00:00,2024-10-27 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,2024-10-30 00:00:00,2024-10-31 00:00:00,2024-11-01 00:00:00,2024-11-02 00:00:00,2024-11-03 00:00:00,2024-11-04 00:00:00,2024-11-05 00:00:00,2024-11-06 00:00:00,2024-11-07 00:00:00,2024-11-08 00:00:00,2024-11-09 00:00:00,2024-11-10 00:00:00,2024-11-11 00:00:00,2024-11-12 00:00:00,2024-11-13 00:00:00,2024-11-14 00:00:00,2024-11-15 00:00:00,2024-11-16 00:00:00,2024-11-17 00:00:00,2024-11-18 00:00:00,2024-11-19 00:00:00,2024-11-20 00:00:00,2024-11-21 00:00:00,2024-11-22 00:00:00,2024-11-23 00:00:00,2024-11-24 00:00:00,2024-11-25 00:00:00,2024-11-26 00:00:00,2024-11-27 00:00:00,2024-11-28 00:00:00,2024-11-29 00:00:00,2024-11-30 00:00:00,2024-12-01 00:00:00,2024-12-02 00:00:00,2024-12-03 00:00:00,2024-12-04 00:00:00,2024-12-05 00:00:00,2024-12-06 00:00:00,2024-12-07 00:00:00,2024-12-08 00:00:00,2024-12-09 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-12 00:00:00,2024-12-13 00:00:00,2024-12-14 00:00:00,2024-12-15 00:00:00,2024-12-16 00:00:00,2024-12-17 00:00:00,2024-12-18 00:00:00,2024-12-19 00:00:00,2024-12-20 00:00:00,2024-12-21 00:00:00,2024-12-22 00:00:00,2024-12-23 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-28 00:00:00,2024-12-29 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-01 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-09 00:00:00,2025-01-10 00:00:00,2025-01-11 00:00:00,2025-01-12 00:00:00,2025-01-13 00:00:00,2025-01-14 00:00:00,2025-01-15 00:00:00,2025-01-16 00:00:00,2025-01-17 00:00:00,2025-01-18 00:00:00,2025-01-19 00:00:00,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-23 00:00:00,2025-01-24 00:00:00,2025-01-25 00:00:00,2025-01-26 00:00:00,2025-01-27 00:00:00,2025-01-28 00:00:00,2025-01-29 00:00:00,2025-01-30 00:00:00,2025-01-31 00:00:00,2025-02-01 00:00:00,2025-02-02 00:00:00,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-06 00:00:00,2025-02-07 00:00:00,2025-02-08 00:00:00,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,2025-02-16 00:00:00,2025-02-17 00:00:00,2025-02-18 00:00:00,created_at
apple/aimv2-large-patch14-native,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,95.0,211.0,365.0,665.0,994.0,2401.0,4727.0,10473.0,17508.0,25555.0,37558.0,53430.0,72629.0,93398.0,117251.0,141661.0,166071.0,193675.0,223839.0,255557.0,289339.0,324700.0,363135.0,404125.0,447192.0,491970.0,538207.0,585316.0,642342.0,699877.0,757412.0,816710.0,877514.0,938318.0,1000031.0,1065011.0,1131389.0,1197235.0,1263142.0,1329782.0,1393932.0,1454751.0,1514080.0,1573407.0,1637924.0,1702441.0,1765481.0,1827424.0,1889955.0,1957013.0,2024068.0,2091613.0,2158678.0,2223245.0,2286592.0,2348290.0,2408605.0,2467886.0,2517150.0,2566529.0,2614930.0,2662564.0,2708249.0,2752915.0,2796533.0,2837584.0,2876117.0,2912143.0,2946648.0,2980117.0,3012050.0,3043456.0,3073319.0,3100602.0,3121167.0,3139175.0,3155725.0,3171664.0,3185627.0,3196615.0,3205576.0,3213037.0,3219531.0,3224550.0,3229462.0,3234169.0,3238873.0,3243701.0,2024-11-21 10:54:56+00:00
apple/DepthPro-hf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,765.0,1120.0,1564.0,2361.0,3303.0,4633.0,7151.0,10554.0,14218.0,18145.0,2024-11-27 13:52:11+00:00
apple/aimv2-large-patch14-224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,248.0,680.0,1330.0,2718.0,4364.0,6272.0,8462.0,10767.0,13220.0,15721.0,18304.0,20910.0,23562.0,26326.0,29146.0,32118.0,35090.0,38374.0,41836.0,45428.0,49184.0,53074.0,57063.0,61269.0,65511.0,69780.0,74121.0,78495.0,82861.0,87270.0,91679.0,95793.0,99724.0,103655.0,106559.0,109280.0,111734.0,114106.0,116336.0,118512.0,120659.0,122748.0,124790.0,126793.0,128717.0,130641.0,132231.0,133716.0,135250.0,136901.0,138406.0,139830.0,141167.0,142346.0,143508.0,144734.0,145975.0,147208.0,148746.0,150521.0,152308.0,154168.0,156137.0,158218.0,160448.0,162641.0,165002.0,167737.0,170476.0,173284.0,176170.0,179061.0,182018.0,185059.0,188081.0,191282.0,194493.0,197679.0,200862.0,203868.0,207018.0,210166.0,213389.0,216737.0,220337.0,223924.0,227512.0,231246.0,2024-10-29 15:31:39+00:00
apple/aimv2-huge-patch14-448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,46.0,73.0,107.0,157.0,248.0,343.0,441.0,540.0,641.0,775.0,918.0,1061.0,1214.0,1372.0,1532.0,1692.0,1852.0,2013.0,2175.0,2339.0,2504.0,2669.0,2834.0,3000.0,3167.0,3334.0,3502.0,3671.0,3838.0,4005.0,4152.0,4297.0,4442.0,4570.0,4654.0,4734.0,4808.0,4886.0,4963.0,5005.0,5038.0,5073.0,5110.0,5133.0,5156.0,5176.0,5196.0,5215.0,5234.0,5254.0,5271.0,5288.0,5305.0,5321.0,5338.0,5355.0,5371.0,5598.0,5824.0,6050.0,6275.0,6498.0,6724.0,6951.0,7198.0,7445.0,7692.0,7935.0,8178.0,8421.0,8734.0,9047.0,9357.0,9667.0,9979.0,10291.0,10603.0,10917.0,11406.0,13231.0,15062.0,17680.0,20602.0,23586.0,26569.0,29553.0,32537.0,2024-10-29 15:38:36+00:00
apple/aimv2-large-patch14-224-distilled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,62.0,104.0,162.0,225.0,318.0,422.0,543.0,664.0,787.0,914.0,1047.0,1186.0,1327.0,1470.0,1613.0,1756.0,1899.0,2042.0,2254.0,2466.0,2688.0,2996.0,3314.0,3678.0,4168.0,4792.0,5424.0,6056.0,6690.0,7324.0,7929.0,8531.0,9133.0,9731.0,10326.0,10885.0,11433.0,11981.0,12529.0,13071.0,13607.0,14142.0,14671.0,15201.0,15731.0,16262.0,16793.0,17336.0,17812.0,18286.0,18750.0,19131.0,19506.0,19849.0,20109.0,20245.0,20380.0,20729.0,21076.0,21428.0,21783.0,22138.0,22490.0,22841.0,23187.0,23635.0,24085.0,24542.0,24995.0,25541.0,26087.0,26632.0,27698.0,28951.0,30336.0,31875.0,33489.0,35191.0,36913.0,38731.0,40662.0,42686.0,45012.0,47454.0,49920.0,52334.0,54782.0,2024-11-04 19:37:34+00:00
apple/aimv2-large-patch14-448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,118.0,233.0,406.0,628.0,856.0,1084.0,1322.0,1575.0,1828.0,2084.0,2345.0,2611.0,2882.0,3166.0,3454.0,3742.0,4030.0,4326.0,4623.0,4921.0,5420.0,6425.0,7430.0,8437.0,9531.0,10693.0,11861.0,13031.0,14202.0,15371.0,16540.0,17596.0,18773.0,19950.0,21019.0,22090.0,23154.0,24204.0,25299.0,26393.0,29990.0,42509.0,55027.0,67528.0,80030.0,92532.0,105032.0,117526.0,130017.0,142508.0,154995.0,166780.0,178565.0,190399.0,202211.0,213939.0,225669.0,237396.0,249335.0,261307.0,273279.0,285257.0,297111.0,309063.0,321058.0,333110.0,345316.0,357784.0,370239.0,382842.0,394551.0,399233.0,400484.0,402028.0,403647.0,405423.0,407397.0,409476.0,411650.0,413832.0,416031.0,418398.0,420800.0,423205.0,425592.0,427986.0,430378.0,432780.0,2024-10-29 15:38:22+00:00
apple/aimv2-3B-patch14-448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,92.0,186.0,314.0,471.0,646.0,865.0,1131.0,1408.0,1685.0,1965.0,2255.0,2589.0,2933.0,3278.0,3625.0,3974.0,4323.0,4683.0,5043.0,5407.0,5775.0,6145.0,6515.0,6901.0,7290.0,7679.0,8078.0,8477.0,8877.0,9282.0,9687.0,10029.0,10372.0,10715.0,11002.0,11247.0,11445.0,11632.0,11832.0,12100.0,12358.0,12656.0,12974.0,13295.0,13615.0,13935.0,14248.0,14557.0,14867.0,15271.0,15675.0,16079.0,16485.0,16876.0,17313.0,17858.0,18401.0,18938.0,19477.0,20008.0,20536.0,21039.0,21522.0,22008.0,22490.0,22974.0,23460.0,23944.0,24413.0,24814.0,25213.0,25569.0,25854.0,26173.0,26505.0,27362.0,28217.0,29062.0,29908.0,31088.0,32649.0,34979.0,37355.0,39732.0,42105.0,44384.0,46605.0,48826.0,2024-10-29 15:39:25+00:00
apple/DepthPro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.0,3521.0,5420.0,7429.0,9438.0,11671.0,13980.0,16350.0,18779.0,21308.0,23929.0,26650.0,29453.0,32345.0,35320.0,38395.0,41527.0,44770.0,48013.0,51332.0,54575.0,57793.0,60883.0,63884.0,66788.0,69589.0,72321.0,75021.0,77806.0,80631.0,83695.0,89152.0,95256.0,101332.0,107411.0,113468.0,119589.0,125770.0,132007.0,138257.0,144490.0,150744.0,157007.0,163329.0,169853.0,176523.0,183260.0,189992.0,196781.0,203557.0,210364.0,217163.0,223989.0,230815.0,237694.0,244615.0,251572.0,258500.0,265401.0,272224.0,278841.0,284400.0,287921.0,291373.0,294745.0,298052.0,301277.0,304502.0,307595.0,310646.0,313697.0,316620.0,319504.0,322334.0,325022.0,327481.0,329858.0,332194.0,334481.0,336693.0,338871.0,341052.0,343233.0,345261.0,347217.0,349153.0,351182.0,353228.0,355192.0,357166.0,359113.0,361068.0,363010.0,365003.0,367012.0,369060.0,371123.0,373193.0,375273.0,377349.0,379425.0,381525.0,383627.0,385734.0,387847.0,389971.0,392065.0,394130.0,396158.0,398179.0,400201.0,402257.0,404284.0,406298.0,408294.0,410307.0,412294.0,414273.0,416197.0,418104.0,420027.0,421918.0,423812.0,425666.0,427524.0,2024-10-03 14:45:37+00:00
apple/aimv2-1B-patch14-448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,80.0,143.0,213.0,285.0,432.0,659.0,904.0,1163.0,1471.0,1787.0,2104.0,2421.0,2738.0,3076.0,3431.0,3786.0,4179.0,4606.0,5071.0,5541.0,6017.0,6493.0,6973.0,7460.0,7947.0,8447.0,8952.0,9460.0,9968.0,10476.0,10933.0,11380.0,11827.0,12267.0,12634.0,12922.0,13193.0,13455.0,13671.0,13876.0,14081.0,14285.0,14495.0,14684.0,14873.0,15040.0,15175.0,15278.0,15340.0,15397.0,15448.0,15501.0,15554.0,15664.0,15780.0,15884.0,15983.0,16080.0,16174.0,16268.0,16362.0,16456.0,16550.0,16644.0,16744.0,16844.0,16944.0,17039.0,17133.0,17227.0,17321.0,17415.0,17504.0,17603.0,17704.0,17874.0,18781.0,19816.0,20851.0,21887.0,22924.0,24030.0,25136.0,26689.0,28508.0,30328.0,32172.0,2024-10-29 15:38:48+00:00
apple/aimv2-large-patch14-224-lit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,234.0,436.0,699.0,1985.0,4083.0,6861.0,10020.0,13465.0,16911.0,20357.0,24000.0,27643.0,31306.0,35027.0,38780.0,42551.0,46340.0,50153.0,53985.0,57846.0,61723.0,65627.0,69545.0,73463.0,77405.0,81508.0,85611.0,89990.0,94942.0,100196.0,106168.0,112586.0,119162.0,124749.0,129746.0,134155.0,138080.0,141762.0,145444.0,149073.0,152539.0,156057.0,159661.0,163218.0,166719.0,170205.0,173687.0,177141.0,180599.0,184091.0,187551.0,191153.0,194765.0,198382.0,202013.0,205543.0,208926.0,212098.0,214870.0,217480.0,219106.0,220383.0,221320.0,222229.0,222949.0,223675.0,224453.0,225242.0,226017.0,226787.0,227568.0,228285.0,228976.0,229641.0,230377.0,231169.0,231964.0,232812.0,233653.0,234479.0,235332.0,2024-11-20 20:03:36+00:00
