model,2024-07-02 00:00:00,2024-07-03 00:00:00,2024-07-04 00:00:00,2024-07-05 00:00:00,2024-07-06 00:00:00,2024-07-07 00:00:00,2024-07-08 00:00:00,2024-07-09 00:00:00,2024-07-10 00:00:00,2024-07-11 00:00:00,2024-07-12 00:00:00,2024-07-13 00:00:00,2024-07-14 00:00:00,2024-07-15 00:00:00,2024-07-16 00:00:00,2024-07-17 00:00:00,2024-07-18 00:00:00,2024-07-19 00:00:00,2024-07-20 00:00:00,2024-07-21 00:00:00,2024-07-22 00:00:00,2024-07-23 00:00:00,2024-07-24 00:00:00,2024-07-25 00:00:00,2024-07-26 00:00:00,2024-07-27 00:00:00,2024-07-28 00:00:00,2024-07-29 00:00:00,2024-07-30 00:00:00,2024-07-31 00:00:00,2024-08-01 00:00:00,2024-08-02 00:00:00,2024-08-03 00:00:00,2024-08-04 00:00:00,2024-08-05 00:00:00,2024-08-06 00:00:00,2024-08-07 00:00:00,2024-08-08 00:00:00,2024-08-09 00:00:00,2024-08-10 00:00:00,2024-08-11 00:00:00,2024-08-12 00:00:00,2024-08-13 00:00:00,2024-08-14 00:00:00,2024-08-15 00:00:00,2024-08-16 00:00:00,2024-08-17 00:00:00,2024-08-18 00:00:00,2024-08-19 00:00:00,2024-08-20 00:00:00,2024-08-21 00:00:00,2024-08-22 00:00:00,2024-08-23 00:00:00,2024-08-24 00:00:00,2024-08-25 00:00:00,2024-08-26 00:00:00,2024-08-27 00:00:00,2024-08-28 00:00:00,2024-08-29 00:00:00,2024-08-30 00:00:00,2024-08-31 00:00:00,2024-09-01 00:00:00,2024-09-02 00:00:00,2024-09-03 00:00:00,2024-09-04 00:00:00,2024-09-05 00:00:00,2024-09-06 00:00:00,2024-09-07 00:00:00,2024-09-08 00:00:00,2024-09-09 00:00:00,2024-09-10 00:00:00,2024-09-11 00:00:00,2024-09-12 00:00:00,2024-09-13 00:00:00,2024-09-14 00:00:00,2024-09-15 00:00:00,2024-09-16 00:00:00,2024-09-17 00:00:00,2024-09-18 00:00:00,2024-09-19 00:00:00,2024-09-20 00:00:00,2024-09-21 00:00:00,2024-09-22 00:00:00,2024-09-23 00:00:00,2024-09-24 00:00:00,2024-09-25 00:00:00,2024-09-26 00:00:00,2024-09-27 00:00:00,2024-09-28 00:00:00,2024-09-29 00:00:00,2024-09-30 00:00:00,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-10-03 00:00:00,2024-10-04 00:00:00,2024-10-05 00:00:00,2024-10-06 00:00:00,2024-10-07 00:00:00,2024-10-08 00:00:00,2024-10-09 00:00:00,2024-10-10 00:00:00,2024-10-11 00:00:00,2024-10-12 00:00:00,2024-10-13 00:00:00,2024-10-14 00:00:00,2024-10-15 00:00:00,2024-10-16 00:00:00,2024-10-17 00:00:00,2024-10-18 00:00:00,2024-10-19 00:00:00,2024-10-20 00:00:00,2024-10-21 00:00:00,2024-10-22 00:00:00,2024-10-23 00:00:00,2024-10-24 00:00:00,2024-10-25 00:00:00,2024-10-26 00:00:00,2024-10-27 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,2024-10-30 00:00:00,2024-10-31 00:00:00,2024-11-01 00:00:00,2024-11-02 00:00:00,2024-11-03 00:00:00,2024-11-04 00:00:00,2024-11-05 00:00:00,2024-11-06 00:00:00,2024-11-07 00:00:00,2024-11-08 00:00:00,2024-11-09 00:00:00,2024-11-10 00:00:00,2024-11-11 00:00:00,2024-11-12 00:00:00,2024-11-13 00:00:00,2024-11-14 00:00:00,2024-11-15 00:00:00,2024-11-16 00:00:00,2024-11-17 00:00:00,2024-11-18 00:00:00,2024-11-19 00:00:00,2024-11-20 00:00:00,2024-11-21 00:00:00,2024-11-22 00:00:00,2024-11-23 00:00:00,2024-11-24 00:00:00,2024-11-25 00:00:00,2024-11-26 00:00:00,2024-11-27 00:00:00,2024-11-28 00:00:00,2024-11-29 00:00:00,2024-11-30 00:00:00,2024-12-01 00:00:00,2024-12-02 00:00:00,2024-12-03 00:00:00,2024-12-04 00:00:00,2024-12-05 00:00:00,2024-12-06 00:00:00,2024-12-07 00:00:00,2024-12-08 00:00:00,2024-12-09 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-12 00:00:00,2024-12-13 00:00:00,2024-12-14 00:00:00,2024-12-15 00:00:00,2024-12-16 00:00:00,2024-12-17 00:00:00,2024-12-18 00:00:00,2024-12-19 00:00:00,2024-12-20 00:00:00,2024-12-21 00:00:00,2024-12-22 00:00:00,2024-12-23 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-28 00:00:00,2024-12-29 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-01 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-05 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-09 00:00:00,2025-01-10 00:00:00,2025-01-11 00:00:00,2025-01-12 00:00:00,2025-01-13 00:00:00,2025-01-14 00:00:00,2025-01-15 00:00:00,2025-01-16 00:00:00,2025-01-17 00:00:00,2025-01-18 00:00:00,2025-01-19 00:00:00,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-23 00:00:00,2025-01-24 00:00:00,2025-01-25 00:00:00,2025-01-26 00:00:00,2025-01-27 00:00:00,2025-01-28 00:00:00,2025-01-29 00:00:00,2025-01-30 00:00:00,2025-01-31 00:00:00,2025-02-01 00:00:00,2025-02-02 00:00:00,2025-02-03 00:00:00,2025-02-04 00:00:00,2025-02-05 00:00:00,2025-02-06 00:00:00,2025-02-07 00:00:00,2025-02-08 00:00:00,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,2025-02-16 00:00:00,2025-02-17 00:00:00,2025-02-18 00:00:00,created_at
ibm-granite/granite-timeseries-ttm-r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,390.0,931.0,1495.0,2386.0,3576.0,4995.0,6539.0,8333.0,10468.0,13403.0,16338.0,20003.0,24149.0,28622.0,33687.0,39999.0,46539.0,53711.0,62072.0,72162.0,86694.0,104042.0,122571.0,141314.0,160057.0,180726.0,203454.0,228983.0,255566.0,284285.0,312849.0,341957.0,374295.0,408606.0,444053.0,480832.0,518989.0,558385.0,598745.0,641755.0,687653.0,734767.0,785813.0,841018.0,903877.0,968887.0,1044889.0,1123766.0,1206082.0,1287814.0,1366997.0,1444440.0,1520970.0,1601127.0,1685155.0,1772812.0,1866102.0,1963310.0,2065977.0,2168644.0,2288746.0,2415220.0,2557471.0,2709513.0,2877122.0,3051457.0,3225954.0,3401639.0,3577446.0,3751572.0,3925161.0,4100495.0,4285462.0,4470429.0,4694822.0,4924057.0,5153292.0,5368896.0,5581074.0,5794291.0,6007009.0,6219650.0,6431929.0,6641996.0,6880143.0,7114228.0,7342228.0,7564864.0,7787500.0,7999816.0,8197267.0,8389247.0,8589090.0,8768914.0,8932888.0,9094148.0,9256437.0,9440861.0,9646943.0,9853309.0,10057496.0,10258723.0,10448183.0,10611527.0,10768560.0,10915298.0,11059195.0,11202529.0,11345137.0,11489610.0,11637803.0,11798197.0,11962085.0,12131452.0,12299790.0,12436511.0,12578291.0,12738728.0,12916530.0,13092547.0,13264760.0,13436449.0,13605617.0,13777443.0,13950890.0,14144069.0,14339713.0,14529538.0,14692145.0,14859267.0,15076313.0,2024-10-08 10:47:25+00:00
ibm-granite/granite-3.1-8b-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,1648.0,3276.0,5269.0,7262.0,10934.0,15503.0,20072.0,25533.0,32453.0,40292.0,49050.0,58944.0,75516.0,94508.0,116982.0,140736.0,165277.0,192633.0,219989.0,248125.0,276659.0,306536.0,341775.0,378102.0,416163.0,456276.0,498208.0,542088.0,588061.0,635700.0,684052.0,734472.0,786514.0,840560.0,897776.0,958076.0,1020310.0,1083499.0,1147230.0,1213839.0,1281920.0,1354069.0,1426942.0,1500299.0,1573538.0,1647473.0,1723821.0,1802199.0,1881916.0,1963953.0,2047209.0,2131024.0,2215055.0,2300193.0,2386503.0,2473747.0,2562266.0,2651551.0,2740896.0,2830119.0,2921077.0,2024-12-06 19:56:54+00:00
ibm-granite/granite-3.0-8b-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,1988.0,4308.0,7722.0,12500.0,18345.0,24804.0,32351.0,41545.0,51848.0,63778.0,76575.0,91464.0,106851.0,122238.0,139752.0,159101.0,181922.0,206581.0,233227.0,261164.0,290375.0,321093.0,353209.0,387386.0,423416.0,461326.0,499817.0,539097.0,579959.0,622965.0,667978.0,714428.0,761657.0,808724.0,856176.0,905403.0,956161.0,1007439.0,1059693.0,1112519.0,1166412.0,1219494.0,1274731.0,1332109.0,1390218.0,1449071.0,1506200.0,1563102.0,1620004.0,1679350.0,1739486.0,1800319.0,1861313.0,1922301.0,1982039.0,2041157.0,2100307.0,2159663.0,2218657.0,2276010.0,2331881.0,2385579.0,2439277.0,2491118.0,2542607.0,2594096.0,2641866.0,2688954.0,2734704.0,2778941.0,2823093.0,2866182.0,2907352.0,2946946.0,2985737.0,3023102.0,3059532.0,3095962.0,3128353.0,3158276.0,3187086.0,3218571.0,3249337.0,3279538.0,3310075.0,3341025.0,3372107.0,3402993.0,3434454.0,3466077.0,3498026.0,3531040.0,3564959.0,3599632.0,3634558.0,3669770.0,3705290.0,3740056.0,3774892.0,3809869.0,3844540.0,3879219.0,3914228.0,3948243.0,3981845.0,4015840.0,4050679.0,4085543.0,4119972.0,4153829.0,4187107.0,4219465.0,4251884.0,4284218.0,4316118.0,4347846.0,4379427.0,4410727.0,4441693.0,4472736.0,2024-10-02 21:16:23+00:00
ibm-granite/granite-3.1-2b-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,738.0,1409.0,2239.0,3069.0,4752.0,6675.0,8598.0,11106.0,14257.0,17912.0,22310.0,27230.0,32478.0,38029.0,43954.0,50326.0,56949.0,64031.0,71113.0,78301.0,85610.0,93562.0,104523.0,115718.0,127271.0,139140.0,151898.0,165143.0,178731.0,192520.0,206298.0,220087.0,234068.0,248353.0,262910.0,277505.0,292571.0,308067.0,323652.0,339300.0,355266.0,371772.0,388681.0,405826.0,423033.0,440308.0,458228.0,476953.0,496610.0,517691.0,539768.0,562029.0,583629.0,605855.0,631145.0,659068.0,687969.0,716972.0,746253.0,776019.0,807036.0,2024-12-06 19:57:15+00:00
ibm-granite/granite-embedding-30m-english,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,190.0,363.0,553.0,743.0,970.0,1220.0,1470.0,1735.0,2030.0,2394.0,2818.0,3345.0,4027.0,4731.0,5532.0,6426.0,7449.0,8559.0,9669.0,10823.0,11985.0,13302.0,14877.0,16497.0,18217.0,20003.0,21926.0,23938.0,26110.0,29071.0,40429.0,53140.0,67647.0,82275.0,97114.0,112118.0,127235.0,142418.0,157773.0,173345.0,188993.0,205296.0,221587.0,237867.0,254128.0,270398.0,286719.0,303019.0,320076.0,337251.0,354578.0,371929.0,389264.0,406970.0,426725.0,448286.0,471537.0,497519.0,526174.0,556983.0,583309.0,2024-12-04 20:28:47+00:00
ibm-granite/granite-embedding-278m-multilingual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,54.0,138.0,263.0,388.0,580.0,882.0,1184.0,1682.0,2352.0,3169.0,4139.0,5190.0,6401.0,7654.0,9041.0,10597.0,12709.0,15016.0,17323.0,19689.0,22069.0,24598.0,27833.0,31341.0,35192.0,39464.0,43985.0,49009.0,54340.0,60509.0,68264.0,77595.0,89175.0,101811.0,114890.0,128793.0,143020.0,157485.0,172006.0,187048.0,202535.0,218832.0,237298.0,256462.0,275906.0,295689.0,315682.0,336483.0,357761.0,379705.0,402168.0,424919.0,448685.0,472961.0,497506.0,522298.0,547585.0,572976.0,598414.0,623376.0,647713.0,2024-12-04 20:29:12+00:00
ibm-granite/granite-3.1-3b-a800m-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,434.0,863.0,1415.0,1967.0,2796.0,3819.0,4842.0,6027.0,7410.0,8952.0,10661.0,12595.0,14723.0,16951.0,19415.0,22031.0,24794.0,27710.0,30626.0,33619.0,36653.0,39896.0,43845.0,47890.0,52092.0,56449.0,61034.0,65799.0,70743.0,75977.0,81234.0,86521.0,91911.0,97332.0,102809.0,108289.0,113732.0,119264.0,124818.0,142669.0,163795.0,184850.0,205808.0,226808.0,247735.0,268635.0,289608.0,310580.0,331575.0,352614.0,373477.0,394281.0,415063.0,435789.0,456596.0,477347.0,498076.0,518734.0,539314.0,559688.0,580033.0,2024-12-06 20:00:37+00:00
ibm-granite/granite-3.0-2b-instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,878.0,2088.0,3862.0,6728.0,10273.0,14248.0,18887.0,24124.0,29906.0,36293.0,43788.0,52061.0,60896.0,69731.0,79997.0,91281.0,103225.0,115871.0,129933.0,144365.0,159365.0,175011.0,191847.0,209518.0,227801.0,246635.0,265817.0,285422.0,305615.0,326778.0,348416.0,370405.0,392407.0,413763.0,435054.0,456869.0,478957.0,501085.0,523104.0,544978.0,566647.0,587576.0,608476.0,629588.0,650321.0,670938.0,691668.0,712588.0,733508.0,758729.0,784371.0,810128.0,835787.0,861938.0,889229.0,917455.0,946124.0,975664.0,1005245.0,1034164.0,1062699.0,1090670.0,1118641.0,1146193.0,1173479.0,1200765.0,1226934.0,1252748.0,1278305.0,1303704.0,1328996.0,1354059.0,1378814.0,1403684.0,1428610.0,1452900.0,1476727.0,1500554.0,1519802.0,1536856.0,1553925.0,1571727.0,1588837.0,1605445.0,1620977.0,1635878.0,1650531.0,1664502.0,1678583.0,1692811.0,1707518.0,1722629.0,1738158.0,1753904.0,1769792.0,1785999.0,1802397.0,1818559.0,1834889.0,1851299.0,1867808.0,1884375.0,1901248.0,1917978.0,1934563.0,1951585.0,1969136.0,1986914.0,2004840.0,2022934.0,2040639.0,2058000.0,2075669.0,2093712.0,2111565.0,2129676.0,2148023.0,2165971.0,2183738.0,2201222.0,2024-10-02 21:07:46+00:00
ibm-granite/granite-embedding-125m-english,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,37.0,89.0,147.0,205.0,277.0,372.0,467.0,738.0,1135.0,1591.0,2065.0,2612.0,3213.0,3892.0,4626.0,5435.0,6295.0,7240.0,8185.0,9143.0,10140.0,11751.0,13971.0,16270.0,18658.0,21982.0,26083.0,30308.0,34681.0,39810.0,53147.0,67818.0,84403.0,101832.0,119456.0,137301.0,155311.0,173396.0,191536.0,209862.0,228946.0,248210.0,268444.0,290127.0,311906.0,333691.0,355638.0,377791.0,400610.0,423865.0,447361.0,470326.0,493105.0,516156.0,540613.0,564569.0,587913.0,611243.0,634519.0,657414.0,672035.0,2024-12-04 20:28:08+00:00
ibm-granite/granite-guardian-3.1-2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,50.0,104.0,169.0,234.0,327.0,531.0,735.0,977.0,1238.0,1504.0,1777.0,2056.0,2384.0,2712.0,3136.0,3573.0,4015.0,4462.0,4909.0,5450.0,5991.0,6701.0,7517.0,8334.0,9154.0,10647.0,12495.0,15229.0,19140.0,24156.0,30265.0,37432.0,45757.0,59149.0,73359.0,87518.0,101622.0,115743.0,129872.0,144022.0,158179.0,172396.0,186610.0,202165.0,220529.0,238928.0,257361.0,275885.0,294417.0,313025.0,331668.0,350179.0,368788.0,387444.0,406200.0,424351.0,442230.0,459495.0,475578.0,490600.0,504641.0,2024-12-17 14:30:51+00:00
