model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
amazon/MistralLite,0,16.0,27.0,30.0,36.0,38.0,40.0,40.0,42.0,44.0,44.0,44.0,46.0,50.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,,,7.798686516909929,2.5633535061102638e-09,9.206654974274818,False,Original,AMAZON,2023-10-16 00:57:56+00:00,Fit the model,53.0
amazon/MegaBeam-Mistral-7B-300k,0,2.0,3.0,13.0,13.0,14.0,15.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.2330678173063365,1.505723449569108e-17,4.269246351783869,False,Original,AMAZON,2024-05-13 02:30:08+00:00,Fit the model,16.0
amazon/chronos-t5-tiny,0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.712595725224209,1.1019063478830881e-14,1.9359269190599235,False,Original,AMAZON,2024-02-28 07:51:45+00:00,Fit the model,5.0
amazon/chronos-bolt-small,0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,AMAZON,2024-11-25 09:46:10+00:00,Fit the model,4.0
amazon/chronos-bolt-base,0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,AMAZON,2024-11-25 09:47:43+00:00,Fit the model,4.0
amazon/FalconLite,0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,2.211491585885865,4.314502795723797e-14,8.498561988115233,False,Original,AMAZON,2023-08-01 14:18:59+00:00,Fit the model,2.0
amazon/chronos-t5-mini,0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.4704439919631414,9.44725212401892e-18,1.7095664444486078,False,Original,AMAZON,2024-02-21 08:06:36+00:00,Fit the model,2.0
amazon/chronos-t5-small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0860099142471893,1.8422126131657043e-16,0.24426923569367734,False,Original,AMAZON,2024-02-21 10:06:21+00:00,Fit the model,1.0
amazon/chronos-bolt-tiny,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,AMAZON,2024-11-25 08:18:08+00:00,Fit the model,1.0
amazon/chronos-bolt-mini,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,AMAZON,2024-11-25 09:42:48+00:00,Fit the model,1.0
