model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
apple/AIM,0,49.0,106.0,160.0,228.0,315.0,373.0,426.0,572.0,719.0,840.0,979.0,1078.0,1189.0,,,,,,,,,,,,,,,,,,,,,,26.208740160371796,3.509358285115185,5.626835630059661,False,Original,Apple,2024-01-11 19:48:56+00:00,Fit the model,1189.0
apple/OpenELM,0,5.0,42.0,55.0,76.0,79.0,80.0,83.0,86.0,88.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,9.386868839140297,5.1815027639204594e-17,7.198382048195065,False,Original,Apple,2024-04-17 20:01:04+00:00,Fit the model,89.0
apple/OpenELM-1_1B,0,3.0,5.0,8.0,17.0,39.0,64.0,72.0,72.0,72.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,9.351106556634116,8.832170525189858e-20,3.1612335276145616,False,Original,Apple,2024-04-12 21:48:43+00:00,Fit the model,72.0
apple/OpenELM-270M,0,7.0,29.0,37.0,52.0,52.0,67.0,68.0,69.0,69.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,8.951888763240813,1.468818618239157e-13,6.053372880553766,False,Original,Apple,2024-04-12 21:42:49+00:00,Fit the model,70.0
apple/OpenELM-3B-Instruct,0,4.0,9.0,20.0,37.0,39.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,7.936498049830015,4.581804543905251e-16,5.407383131356271,False,Original,Apple,2024-04-12 21:52:23+00:00,Fit the model,40.0
apple/OpenELM-450M,0,7.0,10.0,19.0,23.0,24.0,38.0,38.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,7.858280489224248,2.1956028890094525e-12,4.519452894189666,False,Original,Apple,2024-04-12 21:48:16+00:00,Fit the model,39.0
apple/OpenELM-3B,0,2.0,3.0,3.0,10.0,12.0,31.0,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,7.749331180894985,1.2992810852437303e-17,2.6608241908431673,False,Original,Apple,2024-04-12 21:48:54+00:00,Fit the model,32.0
apple/OpenELM-1_1B-Instruct,0,3.0,10.0,20.0,26.0,27.0,30.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,7.383993639378593,8.209104851865352e-15,5.3989381447627185,False,Original,Apple,2024-04-12 21:52:12+00:00,Fit the model,31.0
apple/OpenELM-450M-Instruct,0,6.0,8.0,19.0,23.0,24.0,25.0,25.0,26.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,7.030322518061272,2.0249363331095256e-16,5.773125955216481,False,Original,Apple,2024-04-12 21:51:56+00:00,Fit the model,28.0
apple/mobilevit-small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,7.0,8.0,8.0,14.0,14.0,14.0,14.0,15.0,16.0,17.0,19.0,21.0,22.0,22.0,27.0,27.0,27.0,27.0,,,3.682311758585741,0.15182223408910597,0.6186021701276236,False,Original,Apple,2022-05-30 12:43:23+00:00,Fit the model,27.0
apple/mobilevit-xx-small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,10.0,10.0,12.0,15.0,17.0,18.0,18.0,19.0,,,5.256555285211653,0.7943599672443797,1.0115072600093262,False,Original,Apple,2022-05-30 12:46:35+00:00,Fit the model,19.0
apple/OpenELM-270M-Instruct,0,1.0,3.0,11.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,6.001772044687103,3.789175223727168e-16,4.539089745521798,False,Original,Apple,2024-04-12 21:51:40+00:00,Fit the model,15.0
apple/mobilevitv2-1.0-imagenet1k-256,0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,6.0,7.0,7.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,,,,,,,,,,,,,,,4.496176620579316,8.765230971284608e-18,1.9916879978123896,False,Original,Apple,2023-06-05 14:46:34+00:00,Fit the model,13.0
apple/DepthPro,0,6.0,7.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Apple,2024-10-03 14:45:37+00:00,Fit the model,11.0
apple/mobilevit-x-small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,,,2.127055883662778,0.406473293326307,0.4856552025599368,False,Original,Apple,2022-05-30 12:45:19+00:00,Fit the model,6.0
apple/coreml-stable-diffusion-v1-5,0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,3.1780023056226336,5.8354349667614895e-18,4.5904899469926566,False,Original,Apple,2022-12-01 12:53:15+00:00,Fit the model,5.0
apple/mobilevitv2-2.0-imagenet1k-256,0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.1191804152715648,1.0034219870648818e-19,2.8765063794719876,False,Original,Apple,2023-06-06 11:58:30+00:00,Fit the model,2.0
apple/AIM-600M,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.263804216993663,4.1948830256736394e-17,11.093469413330062,False,Original,Apple,2024-01-19 09:10:48+00:00,Fit the model,2.0
apple/AIM-1B,0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.337975407391597,5.5826744798727807e-14,4.309062437337877,False,Original,Apple,2024-01-19 09:11:11+00:00,Fit the model,2.0
apple/DCLM-7B,0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,399202.694092837,58.00905315678156,12.845177294334349,True,Original,Apple,2024-07-11 17:44:35+00:00,Does not fit,2.0
