model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
BAAI/EVA,0,76.0,179.0,249.0,344.0,470.0,577.0,678.0,782.0,918.0,1083.0,1203.0,1293.0,1420.0,1514.0,1660.0,1859.0,2044.0,2167.0,2436.0,2612.0,2817.0,3003.0,3248.0,3420.0,3799.0,4036.0,,,,,,,,,614337.0947787786,98.81438242320208,23.35537876444112,True,Original,BAAI,2022-11-21 02:07:45+00:00,Does not fit,4036.0
BAAI/bge-base-en-v1.5,0,7.0,11.0,16.0,24.0,33.0,47.0,48.0,48.0,72.0,127.0,158.0,182.0,273.0,288.0,342.0,364.0,385.0,,,,,,,,,,,,,,,,,,10.532826260593009,8.7310021688218e-13,1.887127261849111,False,Original,BAAI,2023-09-11 15:04:22+00:00,Fit the model,385.0
BAAI/bge-m3,0,10.0,15.0,47.0,57.0,95.0,111.0,148.0,176.0,232.0,260.0,336.0,378.0,,,,,,,,,,,,,,,,,,,,,,,46.93126101607619,5.924038889737747,5.186841133235823,False,Original,BAAI,2024-01-27 17:07:29+00:00,Fit the model,378.0
BAAI/Emu,0,29.0,52.0,65.0,76.0,85.0,94.0,99.0,123.0,141.0,167.0,175.0,191.0,218.0,245.0,268.0,290.0,325.0,344.0,370.0,,,,,,,,,,,,,,,,1180806.46336482,91.19982188927627,20.542623648411606,True,Original,BAAI,2023-07-10 09:03:01+00:00,Does not fit,370.0
BAAI/bge-small-en-v1.5,0,7.0,10.0,13.0,18.0,34.0,46.0,51.0,71.0,86.0,102.0,110.0,136.0,144.0,154.0,178.0,190.0,199.0,,,,,,,,,,,,,,,,,,9.686779438157595,2.4125576056365874e-17,2.7061537566444747,False,Original,BAAI,2023-09-12 05:20:55+00:00,Fit the model,199.0
BAAI/bge-large-en-v1.5,0,6.0,8.0,9.0,11.0,15.0,21.0,23.0,25.0,30.0,41.0,46.0,56.0,61.0,65.0,80.0,83.0,84.0,,,,,,,,,,,,,,,,,,11.289913774984104,1.0802130668695615,2.8613390274973134,False,Original,BAAI,2023-09-12 05:20:08+00:00,Fit the model,84.0
BAAI/Painter,0,3.0,4.0,5.0,6.0,8.0,10.0,12.0,13.0,18.0,18.0,19.0,21.0,21.0,23.0,24.0,26.0,29.0,33.0,35.0,37.0,38.0,38.0,,,,,,,,,,,,,15.566724271279952,3.681346062267657,4.313097669259935,False,Original,BAAI,2023-03-24 13:52:10+00:00,Fit the model,38.0
BAAI/bge-reranker-v2-m3,0,1.0,1.0,4.0,8.0,11.0,16.0,22.0,30.0,32.0,32.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,7.6174353987687065,1.3343868574128026e-17,2.172230789522811,False,Original,BAAI,2024-03-15 13:32:18+00:00,Fit the model,36.0
BAAI/bge-small-en,0,7.0,8.0,9.0,12.0,13.0,13.0,13.0,15.0,17.0,17.0,22.0,27.0,28.0,28.0,28.0,31.0,34.0,34.0,,,,,,,,,,,,,,,,,674191.9004350007,78.94739018200794,17.83186695876574,True,Original,BAAI,2023-08-05 08:04:07+00:00,Does not fit,34.0
BAAI/bge-large-en,0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,21.0,22.0,28.0,28.0,28.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,834230.2989482873,52.365906487127845,11.684567516670437,True,Original,BAAI,2023-08-02 07:11:51+00:00,Does not fit,34.0
BAAI/DIVA,0,8.0,17.0,21.0,23.0,27.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.860960708020718,1.6183194160282796e-09,4.807146558688599,False,Original,BAAI,2024-08-06 08:51:02+00:00,Fit the model,32.0
BAAI/bge-base-en,0,6.0,8.0,8.0,10.0,10.0,10.0,10.0,12.0,13.0,13.0,15.0,15.0,17.0,18.0,18.0,19.0,22.0,22.0,,,,,,,,,,,,,,,,,788199.9258626121,103.11094217290295,22.977436163663906,True,Original,BAAI,2023-08-05 08:03:50+00:00,Does not fit,22.0
BAAI/bge-reranker-large,0,1.0,1.0,2.0,2.0,2.0,7.0,8.0,10.0,13.0,13.0,13.0,15.0,15.0,15.0,17.0,18.0,18.0,,,,,,,,,,,,,,,,,,5.369033463994691,3.189940310526505e-14,2.196210655143226,False,Original,BAAI,2023-09-12 07:39:18+00:00,Fit the model,18.0
BAAI/Infinity-Instruct-7M-Gen-mistral-7B,0,8.0,16.0,17.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.479341926351696,2.4556945586232818e-18,8.264048118908317,False,Original,BAAI,2024-07-25 05:01:13+00:00,Fit the model,18.0
BAAI/bge-reranker-base,0,1.0,1.0,2.0,3.0,4.0,8.0,8.0,8.0,10.0,10.0,11.0,12.0,13.0,13.0,13.0,15.0,17.0,,,,,,,,,,,,,,,,,,5.091373481178439,1.1957170120452837e-12,2.331176839831998,False,Original,BAAI,2023-09-11 12:30:04+00:00,Fit the model,17.0
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,0,8.0,9.0,11.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.758991725755399,1.1017295681991261e-11,8.020054773143004,False,Original,BAAI,2024-08-02 16:48:45+00:00,Fit the model,13.0
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,0,5.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.905717928686749,3.792797720613357e-14,6.88800850650648,False,Original,BAAI,2024-08-28 10:54:00+00:00,Fit the model,12.0
BAAI/Bunny-v1_0-3B,0,1.0,1.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,5.10225174502112,6.793819687660315e-16,3.232357427407741,False,Original,BAAI,2024-02-20 04:11:24+00:00,Fit the model,10.0
BAAI/Bunny-Llama-3-8B-V,0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.233861735119549,4.680727662455033e-18,3.72078359635992,False,Original,BAAI,2024-04-21 06:57:37+00:00,Fit the model,9.0
BAAI/AquilaChat2-7B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,3.7815425423714437,7.775716672287448e-24,0.6821648358734134,False,Original,BAAI,2023-10-10 02:02:49+00:00,Fit the model,9.0
BAAI/Aquila2-7B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,3.8383040733035063,1.2225929670344984e-24,0.8982804723727696,False,Original,BAAI,2023-10-10 01:55:57+00:00,Fit the model,8.0
BAAI/Aquila2-70B-Expr,0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,4.4109995919448615,8.165782145547267e-06,29.024351160915447,False,Original,BAAI,2023-11-27 13:05:21+00:00,Fit the model,8.0
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,0,7.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.511506161834687,9.190201598590752e-18,32.11187651900946,False,Original,BAAI,2024-07-25 05:04:52+00:00,Fit the model,8.0
BAAI/AltDiffusion,0,0.0,3.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,4.256458207699437,1.9265517014125756e-15,8.34544914105875,False,Original,BAAI,2022-11-15 08:07:50+00:00,Fit the model,8.0
BAAI/Bunny-v1_1-Llama-3-8B-V,0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.906888459546089,3.9728282771568334e-14,5.73383452160971,False,Original,BAAI,2024-05-31 10:25:35+00:00,Fit the model,8.0
BAAI/AltCLIP,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,8.0,8.0,,,,,,,,310298.6425051149,34.34962901046312,7.673901309810019,True,Original,BAAI,2022-11-15 03:22:10+00:00,Does not fit,8.0
