model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
CohereForAI/aya-23-8B,0,45.0,69.0,70.0,79.0,83.0,84.0,88.0,89.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,126196.78566812591,154.3956001232187,39.08194565579273,True,Original,CohereAI,2024-05-19 20:01:07+00:00,Does not fit,154.0
CohereForAI/aya-expanse-8b,0,47.0,60.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,CohereAI,2024-10-23 06:34:13+00:00,Fit the model,73.0
CohereForAI/c4ai-command-r-v01,0,45.0,53.0,59.0,63.0,63.0,66.0,66.0,67.0,68.0,72.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,8.620303970859627,7.689741642504916e-12,19.52658620772472,False,Original,CohereAI,2024-03-11 15:50:54+00:00,Fit the model,72.0
CohereForAI/aya-23-35B,0,32.0,35.0,45.0,45.0,47.0,47.0,49.0,50.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,45110.36514577566,206.71982084656463,55.26043966392394,True,Original,CohereAI,2024-05-19 20:01:29+00:00,Does not fit,65.0
CohereForAI/c4ai-command-r-plus,0,34.0,40.0,52.0,57.0,59.0,61.0,61.0,61.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,8.492507437588745,1.438773899621452e-13,13.994382255146117,False,Original,CohereAI,2024-04-03 13:27:04+00:00,Fit the model,62.0
CohereForAI/c4ai-command-r-08-2024,0,41.0,43.0,43.0,44.0,48.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28177.568333205378,340.12661484883847,93.82820659167132,True,Original,CohereAI,2024-08-19 07:40:11+00:00,Does not fit,57.0
CohereForAI/c4ai-command-r-plus-08-2024,0,50.0,52.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,CohereAI,2024-08-21 09:23:17+00:00,Fit the model,55.0
CohereForAI/aya-expanse-32b,0,23.0,28.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,CohereAI,2024-10-23 06:42:44+00:00,Fit the model,29.0
CohereForAI/aya-101,0,1.0,6.0,8.0,8.0,9.0,22.0,24.0,25.0,25.0,25.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,6.897483344531011,1.949487781646748e-12,3.2367857601735825,False,Original,CohereAI,2024-02-08 18:08:25+00:00,Fit the model,28.0
CohereForAI/c4ai-command-r7b-12-2024,0,17.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,CohereAI,2024-12-11 15:55:05+00:00,Fit the model,27.0
CohereForAI/c4ai-command-r-v01-4bit,0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.8202737617485742,2.3132164468749796e-16,5.957284056595278,False,Original,CohereAI,2024-03-14 13:57:46+00:00,Fit the model,5.0
CohereForAI/c4ai-command-r-plus-4bit,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,CohereAI,2024-04-03 19:05:18+00:00,Fit the model,0.0
