model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
deepseek-ai/DeepSeek-R1,0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2025-01-20 03:46:07+00:00,Fit the model,1280.0
deepseek-ai/deepseek-coder-6.7b-instruct,0,5.0,17.0,37.0,44.0,54.0,68.0,80.0,92.0,96.0,104.0,111.0,112.0,116.0,124.0,378.0,,,,,,,,,,,,,,,,,,,,429897.0663515218,40.28221570213782,9.521715427319773,True,Original,DeepSeek,2023-10-29 11:01:36+00:00,Does not fit,378.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2025-01-20 09:04:18+00:00,Fit the model,247.0
deepseek-ai/deepseek-coder-1.3b-base,0,6.0,6.0,15.0,21.0,22.0,34.0,39.0,53.0,215.0,215.0,218.0,223.0,228.0,229.0,230.0,,,,,,,,,,,,,,,,,,,,10.591383618349063,2.1780070097873616e-15,2.8257525592951276,False,Original,DeepSeek,2023-10-28 07:42:03+00:00,Fit the model,230.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2025-01-20 09:19:00+00:00,Fit the model,203.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2025-01-20 09:09:42+00:00,Fit the model,167.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2025-01-20 09:16:14+00:00,Fit the model,162.0
deepseek-ai/deepseek-coder-1.3b-instruct,0,7.0,9.0,14.0,18.0,23.0,43.0,70.0,73.0,76.0,80.0,88.0,100.0,118.0,122.0,136.0,,,,,,,,,,,,,,,,,,,,9.296402771556979,1.3545132937024622e-10,3.007799206430774,False,Original,DeepSeek,2023-10-29 12:43:40+00:00,Fit the model,136.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2025-01-20 09:18:27+00:00,Fit the model,127.0
deepseek-ai/DeepSeek-V3,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2024-12-25 12:52:23+00:00,Fit the model,100.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,DeepSeek,2025-01-20 09:13:33+00:00,Fit the model,87.0
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0,22.0,38.0,51.0,56.0,58.0,61.0,62.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79219890505827,6.187169856126371e-13,8.69955762303577,False,Original,DeepSeek,2024-06-14 06:23:33+00:00,Fit the model,64.0
deepseek-ai/deepseek-math-7b-rl,0,3.0,5.0,32.0,43.0,50.0,52.0,52.0,52.0,53.0,55.0,57.0,58.0,,,,,,,,,,,,,,,,,,,,,,,8.358396352531534,1.6467682364784106e-15,5.849987391344682,False,Original,DeepSeek,2024-02-05 08:17:11+00:00,Fit the model,58.0
deepseek-ai/deepseek-coder-7b-instruct-v1.5,0,19.0,23.0,28.0,31.0,36.0,37.0,38.0,41.0,42.0,46.0,53.0,55.0,,,,,,,,,,,,,,,,,,,,,,,201399.67799186494,143.36778367641492,34.87774881893676,True,Original,DeepSeek,2024-01-25 15:51:02+00:00,Does not fit,55.0
deepseek-ai/deepseek-math-7b-base,0,3.0,3.0,7.0,23.0,30.0,35.0,35.0,36.0,39.0,39.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,7.719096903866202,3.9818007096038943e-13,4.085937689306617,False,Original,DeepSeek,2024-02-05 08:10:45+00:00,Fit the model,41.0
deepseek-ai/deepseek-coder-33b-instruct,0,11.0,14.0,17.0,21.0,21.0,27.0,33.0,33.0,33.0,33.0,36.0,40.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,7.343358578193594,6.996912746145711e-16,5.6642411456491875,False,Original,DeepSeek,2023-11-01 05:46:34+00:00,Fit the model,41.0
deepseek-ai/deepseek-coder-6.7b-base,0,3.0,3.0,4.0,5.0,8.0,14.0,19.0,23.0,25.0,27.0,31.0,34.0,39.0,39.0,40.0,,,,,,,,,,,,,,,,,,,,7.06456653432599,1.6063368428337773e-14,2.377768306377798,False,Original,DeepSeek,2023-10-23 16:15:39+00:00,Fit the model,40.0
deepseek-ai/DeepSeek-V2-Lite-Chat,0,1.0,5.0,15.0,19.0,20.0,22.0,25.0,27.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.592105728912242,5.937268946880504e-13,3.2928519707676887,False,Original,DeepSeek,2024-05-15 05:34:09+00:00,Fit the model,35.0
deepseek-ai/DeepSeek-V2-Lite,0,2.0,10.0,13.0,14.0,19.0,26.0,27.0,28.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.576339017287184,1.220004948510947e-15,3.385292553809301,False,Original,DeepSeek,2024-05-15 05:31:53+00:00,Fit the model,33.0
deepseek-ai/deepseek-math-7b-instruct,0,5.0,8.0,10.0,13.0,16.0,19.0,20.0,20.0,25.0,26.0,29.0,32.0,,,,,,,,,,,,,,,,,,,,,,,128.03351363844328,17.98940294745212,9.34767235329276,True,Original,DeepSeek,2024-02-05 08:14:00+00:00,Does not fit,32.0
