model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
google/gemma-2b,0,243.0,615.0,973.0,1455.0,2024.0,4473.0,12069.0,25387.0,26227.0,26672.0,26766.0,26948.0,,,,,,,,,,,,,,,,,,,,,,,20.77976803534606,2.5945412724820746e-14,4.817928087704797,False,Original,Google,2024-02-08 08:11:26+00:00,Fit the model,26948.0
google/gemma-7b,0,141.0,265.0,484.0,627.0,730.0,1083.0,6202.0,10063.0,10229.0,10433.0,10449.0,10582.0,,,,,,,,,,,,,,,,,,,,,,,18.908486929949024,5.386950267550617e-16,4.49669444322318,False,Original,Google,2024-02-08 22:36:43+00:00,Fit the model,10582.0
google/gemma-2-2b,0,90.0,206.0,646.0,746.0,959.0,1017.0,1159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Google,2024-07-16 08:07:29+00:00,Fit the model,1159.0
google/gemma-2-2b-it,0,146.0,389.0,556.0,643.0,791.0,895.0,1046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Google,2024-07-16 10:51:39+00:00,Fit the model,1046.0
google/flan-t5-base,0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,6.0,25.0,53.0,93.0,227.0,271.0,304.0,369.0,415.0,456.0,495.0,537.0,657.0,694.0,723.0,743.0,774.0,798.0,805.0,,,,,,,,10.37000197963973,8.637484551019544e-15,1.9878104331316295,False,Original,Google,2022-10-21 10:02:31+00:00,Fit the model,805.0
google/flan-t5-large,0,2.0,6.0,11.0,42.0,116.0,170.0,201.0,216.0,245.0,277.0,315.0,422.0,455.0,484.0,507.0,547.0,584.0,603.0,620.0,659.0,677.0,697.0,717.0,732.0,753.0,775.0,792.0,,,,,,,,11.841410314352876,4.9114727902041486e-14,4.6066205787457175,False,Original,Google,2022-10-21 10:07:08+00:00,Fit the model,792.0
google/gemma-2-9b-it,0,118.0,219.0,296.0,388.0,508.0,631.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,245030.19909957357,100.52626819094203,25.028419101156558,True,Original,Google,2024-06-24 08:05:41+00:00,Does not fit,736.0
google/ddpm-cifar10-32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,493.0,645.0,645.0,645.0,646.0,646.0,646.0,646.0,646.0,646.0,646.0,647.0,647.0,648.0,648.0,649.0,651.0,651.0,651.0,,,11.176719034622145,6.458014377316266e-21,3.850184027722682,False,Original,Google,2022-06-16 12:53:22+00:00,Fit the model,651.0
google/gemma-2b-it,0,28.0,91.0,118.0,135.0,144.0,166.0,268.0,582.0,605.0,617.0,625.0,631.0,,,,,,,,,,,,,,,,,,,,,,,13.181672750226735,2.287030330468378e-13,3.77731324057003,False,Original,Google,2024-02-08 13:23:59+00:00,Fit the model,631.0
google/gemma-2-9b,0,62.0,124.0,219.0,254.0,294.0,476.0,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70769.36615617246,72.11699387061392,19.375936075161732,True,Original,Google,2024-06-24 08:10:30+00:00,Does not fit,513.0
google/flan-t5-small,0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,30.0,36.0,46.0,65.0,99.0,138.0,159.0,202.0,220.0,239.0,267.0,287.0,298.0,307.0,322.0,337.0,347.0,375.0,,,,,,,,8.778943919997527,9.271207848342467e-17,1.6822283036356078,False,Original,Google,2022-10-21 09:59:24+00:00,Fit the model,375.0
google/gemma-7b-it,0,83.0,154.0,184.0,200.0,211.0,247.0,254.0,275.0,283.0,300.0,303.0,309.0,,,,,,,,,,,,,,,,,,,,,,,11.546272472939258,2.6588224983390897e-10,10.476823121351941,False,Original,Google,2024-02-13 01:07:30+00:00,Fit the model,309.0
google/paligemma-3b-pt-224,0,43.0,86.0,109.0,144.0,166.0,194.0,218.0,226.0,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.4762820209787,2.146004146434731e-15,6.320919623334948,False,Original,Google,2024-05-12 22:53:40+00:00,Fit the model,243.0
google/gemma-1.1-7b-it,0,46.0,70.0,81.0,87.0,89.0,89.0,90.0,104.0,167.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,381013.99234070507,97.04037485501597,23.173953068791388,True,Original,Google,2024-03-26 22:40:00+00:00,Does not fit,226.0
google/flan-t5-xl,0,2.0,2.0,5.0,17.0,25.0,40.0,44.0,47.0,56.0,67.0,71.0,87.0,98.0,108.0,116.0,124.0,141.0,153.0,156.0,162.0,171.0,172.0,182.0,203.0,204.0,205.0,206.0,,,,,,,,8.943311280745974,3.036568833768647e-13,3.0487793467767195,False,Original,Google,2022-10-21 15:43:52+00:00,Fit the model,206.0
