model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
HuggingFaceH4/zephyr-7b-beta,0,65.0,136.0,217.0,289.0,337.0,409.0,464.0,504.0,517.0,530.0,551.0,564.0,572.0,582.0,718.0,,,,,,,,,,,,,,,,,,,,12.75086153982445,1.2075747688268139e-15,7.865526259423655,False,Original,HuggingFace,2023-10-26 11:25:49+00:00,Fit the model,718.0
HuggingFaceH4/tiny-random-LlamaForCausalLM,0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,8.0,8.0,8.0,8.0,15.0,17.0,17.0,20.0,20.0,22.0,23.0,24.0,43.0,139.0,342.0,,,,,,,,,,,,,3839382.0869467533,6.73137826120318,1.3121636962302556,True,Original,HuggingFace,2023-04-17 07:42:23+00:00,Does not fit,342.0
HuggingFaceM4/tiny-random-LlamaForCausalLM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,26.0,112.0,304.0,,,,,,,,,,,,6.480306537206406,0.5589597974598212,0.07708547546446708,False,Original,HuggingFace,2023-03-16 23:18:46+00:00,Fit the model,304.0
HuggingFaceM4/idefics2-8b,0,66.0,117.0,138.0,178.0,205.0,225.0,229.0,233.0,234.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,11.285623618695938,1.1861062937673138e-10,9.60747488358756,False,Original,HuggingFace,2024-04-09 23:58:15+00:00,Fit the model,237.0
HuggingFaceH4/mistral-7b-sft-beta,0,2.0,9.0,23.0,23.0,24.0,94.0,162.0,169.0,171.0,171.0,172.0,172.0,172.0,177.0,178.0,,,,,,,,,,,,,,,,,,,,10.308918686686114,7.554109557972465e-17,4.548156217130876,False,Original,HuggingFace,2023-10-26 13:43:58+00:00,Fit the model,178.0
HuggingFaceH4/zephyr-7b-alpha,0,40.0,64.0,75.0,89.0,92.0,99.0,104.0,106.0,107.0,107.0,108.0,108.0,110.0,110.0,112.0,113.0,,,,,,,,,,,,,,,,,,,9.428122711960038,1.9200279654047944e-13,13.994125840091918,False,Original,HuggingFace,2023-10-09 08:45:10+00:00,Fit the model,113.0
HuggingFaceM4/idefics-9b,0,0.0,6.0,8.0,17.0,17.0,17.0,26.0,31.0,55.0,68.0,89.0,93.0,93.0,98.0,103.0,104.0,104.0,104.0,106.0,,,,,,,,,,,,,,,,8.618498140594566,1.0523695491863597e-18,3.050179934376593,False,Original,HuggingFace,2023-07-11 17:47:40+00:00,Fit the model,106.0
HuggingFaceM4/idefics-9b-instruct,0,1.0,1.0,7.0,16.0,16.0,16.0,16.0,18.0,41.0,41.0,41.0,41.0,42.0,43.0,43.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,7.2220466061492985,6.976126075399643e-16,3.5540718047081445,False,Original,HuggingFace,2023-07-24 15:51:18+00:00,Fit the model,43.0
HuggingFaceH4/zephyr-7b-gemma-sft-v0.1,0,12.0,18.0,33.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,7.597383209082821,4.646978538472528e-17,9.463496921984552,False,Original,HuggingFace,2024-03-01 08:46:46+00:00,Fit the model,38.0
HuggingFaceM4/Idefics3-8B-Llama3,0,3.0,11.0,19.0,30.0,31.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.767546988527892,1.2006243267090495e-12,3.349469146485057,False,Original,HuggingFace,2024-08-05 16:12:33+00:00,Fit the model,36.0
HuggingFaceH4/starchat-beta,0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0,,,,,,,,,,,,,,,139963.6350557082,234.64319100328748,56.85767139851137,True,Original,HuggingFace,2023-06-07 11:23:47+00:00,Does not fit,15.0
HuggingFaceH4/mistral-7b-grok,0,0.0,7.0,8.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,5.4828131819439605,7.445581132766947e-20,4.904139038483668,False,Original,HuggingFace,2024-01-29 14:13:00+00:00,Fit the model,14.0
HuggingFaceH4/starchat-alpha,0,5.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,,,,,,,,,,,,,,93524.82640045523,184.22168577444862,45.552151713981644,True,Original,HuggingFace,2023-05-09 08:57:06+00:00,Does not fit,13.0
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,5.129898727181287,0.6243713584276493,533858057.8976572,False,Original,HuggingFace,2024-04-10 16:00:24+00:00,Fit the model,12.0
HuggingFaceH4/mistral-7b-anthropic,0,0.0,2.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,4.916949087850342,2.0391948970581555e-13,3.0365985582797888,False,Original,HuggingFace,2024-01-29 19:35:25+00:00,Fit the model,11.0
HuggingFaceH4/starchat2-15b-sft-v0.1,0,3.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,4.965881776258006,2.9770082771887957e-15,6.920712193888904,False,Original,HuggingFace,2024-03-12 12:39:33+00:00,Fit the model,10.0
HuggingFaceFW/ablation-model-fineweb-edu,0,0.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.317030169901034,8.879055339340303e-16,5.294092344634887,False,Original,HuggingFace,2024-05-29 23:59:33+00:00,Fit the model,10.0
HuggingFaceM4/tiny-random-MistralForCausalLM,0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,6.0,6.0,6.0,7.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,4.368565520584438,8.722841274148879e-16,1.7926795635725865,False,Original,HuggingFace,2023-10-26 12:21:08+00:00,Fit the model,9.0
HuggingFaceM4/Florence-2-DocVQA,0,2.0,3.0,7.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1812399132433,4.163728397714741e-13,3.958044062699078,False,Original,HuggingFace,2024-06-21 12:20:04+00:00,Fit the model,8.0
HuggingFaceH4/zephyr-7b-gemma-v0.1,0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,4.513290686780759,1.522429420652708e-12,13.954120278227998,False,Original,HuggingFace,2024-03-01 10:22:03+00:00,Fit the model,8.0
HuggingFaceH4/starchat2-15b-v0.1,0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,19528.530552504784,53.41987065990616,14.501693096046411,True,Original,HuggingFace,2024-03-10 12:40:02+00:00,Does not fit,8.0
HuggingFaceM4/tiny-random-idefics,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,3.4713127728794273,1.0356618112136226e-13,1.6503839811883914,False,Original,HuggingFace,2023-07-10 22:38:18+00:00,Fit the model,6.0
HuggingFaceFW/ablation-model-fineweb-v1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1824686.360136577,8.786760467111279,1.905224238296642,True,Original,HuggingFace,2024-04-20 23:08:00+00:00,Does not fit,5.0
HuggingFaceM4/idefics2-8b-chatty,0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.6437986297282445,1.0775587202723443e-17,3.9943884275007355,False,Original,HuggingFace,2024-05-02 13:41:19+00:00,Fit the model,4.0
HuggingFaceFW/fineweb-edu-classifier,0,0.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.649864017647038,2.716507286829942e-13,2.728936111005136,False,Original,HuggingFace,2024-05-06 08:29:34+00:00,Fit the model,4.0
HuggingFaceH4/sft-llava-1.5-7b-hf,0,1.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42087053933233,3.2454063702359214e-13,3.8719255606954883,False,Original,HuggingFace,2024-07-26 16:43:14+00:00,Fit the model,3.0
HuggingFaceFW/ablation-model-c4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1451882.4391464742,1.7968049758451567e-13,0.0604024162350848,True,Original,HuggingFace,2024-04-20 23:15:50+00:00,Does not fit,3.0
HuggingFaceFW/ablation-model-the-pile,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1451882.4391464742,1.7968049758451567e-13,0.0604024162350848,True,Original,HuggingFace,2024-04-21 13:12:28+00:00,Does not fit,3.0
HuggingFaceH4/mistral-7b-sft-alpha,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,2.7940896401465527,3.243000889312857e-20,1.7344914171283636,False,Original,HuggingFace,2023-10-26 12:28:08+00:00,Fit the model,3.0
HuggingFaceFW/ablation-model-slimpajama,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1151351.0806555736,4.555046844632173e-10,0.06040072387088411,True,Original,HuggingFace,2024-04-21 13:12:06+00:00,Does not fit,2.0
HuggingFaceFW/ablation-model-dolma-v1_6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1151351.0806555736,4.555046844632173e-10,0.06040072387088411,True,Original,HuggingFace,2024-04-20 23:19:10+00:00,Does not fit,2.0
HuggingFaceH4/vsft-llava-1.5-7b-hf-trl,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.1972248326921893,2.6430444242677633,24869174.631007265,False,Original,HuggingFace,2024-04-11 11:45:35+00:00,Fit the model,2.0
HuggingFaceFW/ablation-model-refinedweb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1151351.0806555736,4.555046844632173e-10,0.06040072387088411,True,Original,HuggingFace,2024-04-20 23:20:09+00:00,Does not fit,2.0
HuggingFaceH4/EleutherAI_pythia-6.9b-deduped__sft__tldr,0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123571.33882675451,74.63492745920217,17.382646042218465,True,Original,HuggingFace,2024-07-25 08:52:19+00:00,Does not fit,2.0
HuggingFaceM4/llama-7b-tokenizer,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.3738162620342638,2.0016167023166605e-13,7.6330323742241575,False,Original,HuggingFace,2023-03-17 22:23:20+00:00,Fit the model,1.0
HuggingFaceFW/ablation-exp-dedup-ind_mh-global_line-350BT,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.059212230533909,7.045575055072059e-15,0.45235569057726754,False,Original,HuggingFace,2024-06-04 16:20:44+00:00,Fit the model,1.0
