model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
ibm-granite/granite-3.1-8b-instruct,0,26.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-12-06 19:56:54+00:00,Fit the model,47.0
ibm-granite/granite-3.0-8b-instruct,0,28.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-10-02 21:16:23+00:00,Fit the model,40.0
ibm-granite/granite-7b-base,0,2.0,2.0,5.0,6.0,35.0,36.0,37.0,37.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,8.040596177986965,1.4643194332852596e-16,3.091800553856572,False,Original,IBM,2024-04-19 16:38:22+00:00,Fit the model,38.0
ibm-granite/granite-8b-code-base-4k,0,12.0,14.0,25.0,25.0,29.0,29.0,31.0,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.341872552871184,2.0872639818416407e-16,7.130874329852495,False,Original,IBM,2024-04-21 07:50:41+00:00,Fit the model,32.0
ibm-granite/granite-8b-code-instruct-128k,0,5.0,22.0,22.0,23.0,24.0,26.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.416051101223663,3.2180708947175523e-11,5.999842104965455,False,Original,IBM,2024-07-12 16:47:49+00:00,Fit the model,31.0
ibm-granite/granite-3.1-2b-instruct,0,19.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-12-06 19:57:15+00:00,Fit the model,31.0
ibm-granite/granite-3b-code-instruct-2k,0,2.0,2.0,14.0,14.0,18.0,25.0,27.0,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.648042568789609,2.2033621614179036e-12,3.013212739049991,False,Original,IBM,2024-04-26 05:54:15+00:00,Fit the model,31.0
ibm-granite/granite-3.0-2b-instruct,0,18.0,28.0,29.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-10-02 21:07:46+00:00,Fit the model,30.0
ibm-granite/granite-3b-code-base-2k,0,7.0,9.0,20.0,20.0,23.0,26.0,27.0,28.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.277982950958802,8.627679656762444e-12,5.032446519592772,False,Original,IBM,2024-04-23 03:59:34+00:00,Fit the model,30.0
ibm-granite/granite-8b-code-instruct-4k,0,3.0,4.0,16.0,16.0,19.0,21.0,23.0,23.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.002835741092024,6.970830708244555e-15,4.067807881923697,False,Original,IBM,2024-04-26 05:54:48+00:00,Fit the model,24.0
ibm-granite/granite-3.1-8b-base,0,8.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-12-06 19:55:49+00:00,Fit the model,23.0
ibm-granite/granite-3.1-2b-base,0,13.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-12-06 19:56:24+00:00,Fit the model,18.0
ibm-granite/granite-3b-code-instruct-128k,0,0.0,1.0,4.0,4.0,5.0,11.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482721.2689506323,19.29507766204412,4.2992250490094905,True,Original,IBM,2024-07-12 05:02:47+00:00,Does not fit,18.0
ibm-granite/granite-3.0-8b-base,0,7.0,10.0,13.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-10-02 21:08:16+00:00,Fit the model,15.0
ibm-granite/granite-3.0-1b-a400m-instruct,0,10.0,13.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,IBM,2024-10-03 21:58:35+00:00,Fit the model,14.0
