model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
microsoft/phi-2,0,167.0,446.0,733.0,1041.0,1363.0,1499.0,1572.0,1678.0,1762.0,1834.0,1892.0,1913.0,1996.0,2247.0,,,,,,,,,,,,,,,,,,,,,15.24194408282673,1.5016659649503542e-12,9.51740944008103,False,Original,Microsoft,2023-12-13 21:19:59+00:00,Fit the model,2247.0
microsoft/Phi-3-mini-4k-instruct,0,261.0,398.0,568.0,710.0,750.0,816.0,874.0,1023.0,1310.0,,,,,,,,,,,,,,,,,,,,,,,,,,121206.88278938895,142.98626200641505,37.18690314329873,True,Original,Microsoft,2024-04-22 16:18:17+00:00,Does not fit,1310.0
microsoft/speecht5_tts,0,0.0,1.0,13.0,39.0,59.0,162.0,287.0,329.0,370.0,404.0,446.0,501.0,549.0,579.0,656.0,716.0,754.0,788.0,828.0,894.0,1038.0,1121.0,1195.0,1263.0,,,,,,,,,,,12.332962063563778,2.0787046177333462e-13,3.5598109493891807,False,Original,Microsoft,2023-02-02 12:56:54+00:00,Fit the model,1263.0
microsoft/Phi-3.5-mini-instruct,0,267.0,377.0,476.0,583.0,749.0,1187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300474.73968917935,99.57594665884788,24.61949132048946,True,Original,Microsoft,2024-08-16 20:48:26+00:00,Does not fit,1187.0
microsoft/phi-1_5,0,116.0,228.0,276.0,359.0,399.0,418.0,509.0,566.0,588.0,609.0,630.0,637.0,647.0,652.0,662.0,738.0,979.0,,,,,,,,,,,,,,,,,,12.984785490470534,1.2942616242093389e-07,8.681243408674064,False,Original,Microsoft,2023-09-10 04:03:46+00:00,Fit the model,979.0
microsoft/resnet-50,0,0.0,2.0,4.0,6.0,9.0,11.0,12.0,18.0,21.0,26.0,49.0,73.0,104.0,131.0,154.0,182.0,209.0,230.0,268.0,325.0,351.0,373.0,399.0,422.0,450.0,486.0,533.0,564.0,604.0,652.0,687.0,739.0,777.0,819.0,9.084760759270438,9.813093536495217e-16,1.6235438706820453,False,Original,Microsoft,2022-03-16 15:42:43+00:00,Fit the model,819.0
microsoft/git-base,0,0.0,0.0,5.0,23.0,54.0,89.0,108.0,133.0,152.0,180.0,211.0,265.0,288.0,309.0,382.0,413.0,449.0,498.0,526.0,544.0,558.0,576.0,623.0,641.0,656.0,674.0,,,,,,,,,11.12572319912153,3.6438164486576774e-17,3.310408109885651,False,Original,Microsoft,2022-12-06 09:22:35+00:00,Fit the model,674.0
microsoft/Phi-3-mini-128k-instruct,0,145.0,210.0,320.0,354.0,378.0,393.0,419.0,450.0,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,47546.3758280264,139.58991982068918,38.35038724615375,True,Original,Microsoft,2024-04-22 16:26:23+00:00,Does not fit,621.0
microsoft/amos,0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,17.0,31.0,39.0,125.0,130.0,143.0,149.0,159.0,166.0,178.0,188.0,200.0,202.0,207.0,211.0,222.0,226.0,235.0,237.0,248.0,255.0,261.0,282.0,310.0,326.0,333.0,350.0,9.236543308554085,3.9631255029607796e-13,3.075788392928815,False,Original,Microsoft,2022-03-24 01:16:31+00:00,Fit the model,350.0
microsoft/phi-4,0,102.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Microsoft,2024-12-11 11:47:29+00:00,Fit the model,272.0
microsoft/layoutlmv3-base,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,23.0,59.0,71.0,82.0,87.0,117.0,129.0,133.0,139.0,152.0,162.0,177.0,201.0,202.0,215.0,229.0,235.0,241.0,246.0,5.681149699658034,0.1053198840465467,0.5023329150341854,False,Original,Microsoft,2022-04-18 06:53:05+00:00,Fit the model,246.0
