model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
mistralai/Mistral-7B-v0.1,0,83.0,324.0,562.0,955.0,1358.0,1797.0,2236.0,2523.0,2694.0,2775.0,2857.0,2907.0,2971.0,3027.0,3162.0,3278.0,3848.0,,,,,,,,,,,,,,,,,,15.926191353339789,3.5046732576719214e-14,8.127926690761486,False,Original,MistralAI,2023-09-20 13:03:50+00:00,Fit the model,3848.0
mistralai/Mistral-7B-Instruct-v0.2,0,187.0,504.0,890.0,1301.0,1661.0,1871.0,2482.0,2586.0,2677.0,2766.0,2798.0,2877.0,3711.0,3766.0,,,,,,,,,,,,,,,,,,,,,16.193388761436214,3.927454218600713e-11,7.696501881946855,False,Original,MistralAI,2023-12-11 13:18:44+00:00,Fit the model,3766.0
mistralai/Mistral-7B-Instruct-v0.1,0,65.0,116.0,233.0,437.0,492.0,587.0,656.0,713.0,781.0,804.0,820.0,831.0,844.0,853.0,862.0,986.0,,,,,,,,,,,,,,,,,,,13.446000002723443,7.329774760998927e-15,8.218208371325142,False,Original,MistralAI,2023-09-27 14:31:52+00:00,Fit the model,986.0
mistralai/Mistral-7B-Instruct-v0.3,0,183.0,254.0,372.0,532.0,581.0,626.0,737.0,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.042075638000046,3.072404886587466e-09,7.281420072414513,False,Original,MistralAI,2024-05-22 09:57:04+00:00,Fit the model,824.0
mistralai/Mistral-7B-v0.3,0,114.0,180.0,219.0,453.0,493.0,543.0,589.0,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.723422481605423,3.6017598155985395e-13,6.399837481715267,False,Original,MistralAI,2024-05-22 09:56:38+00:00,Fit the model,644.0
mistralai/Mixtral-8x7B-Instruct-v0.1,0,117.0,160.0,227.0,268.0,309.0,334.0,340.0,350.0,357.0,378.0,382.0,394.0,404.0,410.0,,,,,,,,,,,,,,,,,,,,,12.000710388765983,2.870120127094366e-13,11.711422123214499,False,Original,MistralAI,2023-12-10 18:47:12+00:00,Fit the model,410.0
mistralai/Mistral-Nemo-Instruct-2407,0,128.0,171.0,210.0,230.0,247.0,277.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61650.38531938176,172.42494471517648,46.27617748225711,True,Original,MistralAI,2024-07-17 17:26:49+00:00,Does not fit,319.0
mistralai/Mixtral-8x7B-v0.1,0,60.0,125.0,153.0,178.0,216.0,225.0,233.0,240.0,245.0,255.0,271.0,276.0,281.0,282.0,,,,,,,,,,,,,,,,,,,,,11.269941930018703,2.9998955174968736e-10,10.516035672940738,False,Original,MistralAI,2023-12-01 09:42:00+00:00,Fit the model,282.0
mistralai/Mistral-Nemo-Base-2407,0,72.0,109.0,122.0,137.0,142.0,160.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51729.44651141071,154.97339071060114,41.83136573767282,True,Original,MistralAI,2024-07-18 10:26:55+00:00,Does not fit,193.0
mistralai/Mistral-Small-Instruct-2409,0,68.0,86.0,91.0,107.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87216.23712583809,185.30273935157715,48.144711937861516,True,Original,MistralAI,2024-09-17 13:05:37+00:00,Does not fit,127.0
