model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
nvidia/RADIO,0,8.0,21.0,37.0,49.0,65.0,78.0,84.0,92.0,97.0,112.0,121.0,145.0,160.0,176.0,,,,,,,,,,,,,,,,,,,,,193.39418656791037,20.200161608702643,10.37062827686246,True,Original,Nvidia,2023-12-11 10:42:43+00:00,Does not fit,176.0
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,0,103.0,143.0,149.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Nvidia,2024-10-12 02:37:13+00:00,Fit the model,150.0
nvidia/Llama3-ChatQA-1.5-8B,0,50.0,68.0,74.0,78.0,81.0,82.0,86.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.151240849643306,3.618459196606826e-19,16.93188193369113,False,Original,Nvidia,2024-04-28 21:32:50+00:00,Fit the model,87.0
nvidia/domain-classifier,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.426849012671227,5.968882691495689e-17,0.38760275030144187,False,Original,Nvidia,2024-05-17 21:03:30+00:00,Fit the model,53.0
nvidia/Mistral-NeMo-Minitron-8B-Base,0,30.0,47.0,49.0,49.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28135032460584,6.249575668273942e-17,15.16426166015725,False,Original,Nvidia,2024-08-19 21:39:52+00:00,Fit the model,50.0
nvidia/Llama-3.1-Minitron-4B-Width-Base,0,23.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.105620184351164,2.026408334616361e-14,24.662753290030913,False,Original,Nvidia,2024-08-13 20:57:26+00:00,Fit the model,30.0
nvidia/Nemotron-Mini-4B-Instruct,0,15.0,17.0,23.0,23.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16968.11396774672,118.82959540630279,33.737273865305845,True,Original,Nvidia,2024-09-10 16:09:36+00:00,Does not fit,26.0
nvidia/stt_en_conformer_ctc_small,0,1.0,1.0,4.0,4.0,4.0,5.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,13.0,14.0,20.0,21.0,23.0,25.0,,,,,,,,,,,,,,,1379320.6701556563,41.85629335975161,9.028942011069788,True,Original,Nvidia,2023-06-12 21:05:28+00:00,Does not fit,25.0
nvidia/Mistral-NeMo-Minitron-8B-Instruct,0,13.0,14.0,16.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Nvidia,2024-10-02 07:04:44+00:00,Fit the model,24.0
nvidia/AceInstruct-7B,0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Nvidia,2025-01-15 15:14:20+00:00,Fit the model,24.0
