model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
openai/whisper-small,0,1.0,89.0,511.0,609.0,746.0,871.0,1038.0,1180.0,1293.0,1478.0,1708.0,1860.0,2033.0,2237.0,2623.0,2866.0,3128.0,3352.0,3704.0,4128.0,4540.0,4981.0,5319.0,5619.0,5975.0,6344.0,6647.0,6995.0,,,,,,,289826.89541234734,91.03029374548625,22.500450788168912,True,Original,OpenAI,2022-09-26 06:51:27+00:00,Does not fit,6995.0
openai/whisper-tiny,0,0.0,10.0,106.0,119.0,147.0,183.0,215.0,233.0,272.0,361.0,746.0,1109.0,1181.0,1222.0,1277.0,1375.0,1426.0,1494.0,1547.0,1657.0,1782.0,1875.0,1968.0,2046.0,2124.0,2195.0,2261.0,2359.0,,,,,,,13.464950855785652,1.9886310988673692e-15,4.146353303103696,False,Original,OpenAI,2022-09-26 06:50:30+00:00,Fit the model,2359.0
openai/whisper-large-v3,0,47.0,103.0,159.0,222.0,316.0,391.0,476.0,548.0,646.0,777.0,862.0,927.0,1088.0,1730.0,1780.0,,,,,,,,,,,,,,,,,,,,347188.2259242742,63.675060137375176,15.510180842460054,True,Original,OpenAI,2023-11-07 18:41:14+00:00,Does not fit,1780.0
openai/whisper-medium,0,2.0,25.0,179.0,196.0,234.0,261.0,308.0,337.0,366.0,424.0,476.0,525.0,570.0,616.0,659.0,738.0,810.0,882.0,948.0,1029.0,1164.0,1258.0,1351.0,1434.0,1505.0,1558.0,1642.0,1724.0,,,,,,,344301.58539054106,86.40299030784725,20.92508057094569,True,Original,OpenAI,2022-09-26 06:52:52+00:00,Does not fit,1724.0
openai/whisper-large-v2,0,122.0,136.0,152.0,169.0,182.0,208.0,254.0,293.0,321.0,362.0,402.0,460.0,526.0,610.0,677.0,733.0,766.0,806.0,854.0,906.0,947.0,978.0,1029.0,1083.0,1140.0,1182.0,,,,,,,,,39.9819624752221,8.749536869356783,8.62385043742727,False,Original,OpenAI,2022-12-05 18:42:20+00:00,Fit the model,1182.0
openai/whisper-base,0,0.0,8.0,43.0,56.0,75.0,82.0,93.0,121.0,138.0,185.0,240.0,261.0,292.0,327.0,371.0,432.0,476.0,528.0,595.0,662.0,742.0,776.0,804.0,835.0,882.0,935.0,977.0,1020.0,,,,,,,11.218505977536104,6.132374558257939e-20,2.7420200644469483,False,Original,OpenAI,2022-09-26 06:50:46+00:00,Fit the model,1020.0
openai/whisper-large,0,0.0,7.0,53.0,55.0,58.0,73.0,95.0,120.0,144.0,168.0,188.0,208.0,222.0,238.0,253.0,270.0,285.0,315.0,370.0,431.0,479.0,539.0,578.0,625.0,645.0,685.0,736.0,780.0,,,,,,,431379.667489599,65.65404758926385,15.554793698253404,True,Original,OpenAI,2022-09-26 06:56:04+00:00,Does not fit,780.0
openai/whisper-large-v3-turbo,0,127.0,173.0,255.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,OpenAI,2024-10-01 07:39:28+00:00,Fit the model,315.0
openai/whisper-tiny.en,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,11.0,14.0,14.0,15.0,16.0,39.0,39.0,46.0,50.0,51.0,63.0,66.0,67.0,69.0,,,,,,,4.455596163229867,0.2383667240376933,0.34921868706429265,False,Original,OpenAI,2022-09-26 06:57:49+00:00,Fit the model,69.0
openai/whisper-small.en,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,11.0,13.0,28.0,33.0,34.0,38.0,39.0,48.0,49.0,49.0,50.0,52.0,53.0,55.0,,,,,,,3.9890206761388627,0.14771737676722713,0.2466873829346393,False,Original,OpenAI,2022-09-26 06:59:49+00:00,Fit the model,55.0
openai/whisper-medium.en,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,9.0,16.0,16.0,20.0,21.0,21.0,23.0,31.0,31.0,34.0,37.0,37.0,37.0,,,,,,,3.782190831360423,0.18534115169053553,0.35962513886679653,False,Original,OpenAI,2022-09-26 07:02:02+00:00,Fit the model,37.0
