model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
Qwen/Qwen1.5-0.5B,0,12.0,28.0,48.0,61.0,521.0,1499.0,6081.0,24502.0,32587.0,33167.0,33402.0,33592.0,,,,,,,,,,,,,,,,,,,,,,,21.23401120464903,1.1823133229440615e-15,3.9043959606622582,False,Original,Qwen,2024-01-22 16:30:10+00:00,Fit the model,33592.0
Qwen/Qwen1.5-1.8B,0,17.0,37.0,62.0,71.0,495.0,1507.0,5963.0,22600.0,30873.0,31366.0,31566.0,31736.0,,,,,,,,,,,,,,,,,,,,,,,21.119824114697607,1.0009346702343416e-15,3.8795140681833353,False,Original,Qwen,2024-01-22 16:53:32+00:00,Fit the model,31736.0
Qwen/Qwen1.5-7B,0,23.0,73.0,148.0,190.0,633.0,1583.0,5038.0,6791.0,6865.0,6878.0,6911.0,7055.0,,,,,,,,,,,,,,,,,,,,,,,18.09483403074361,1.4115407237414986e-19,4.613568047421265,False,Original,Qwen,2024-01-22 17:14:21+00:00,Fit the model,7055.0
Qwen/Qwen2-1.5B,0,83.0,136.0,232.0,1547.0,1659.0,1668.0,1701.0,1706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05553610205043,4.411102575124014e-12,6.205904823794787,False,Original,Qwen,2024-05-31 08:41:32+00:00,Fit the model,1706.0
Qwen/Qwen2.5-7B,0,95.0,230.0,451.0,634.0,1256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Qwen,2024-09-15 12:17:40+00:00,Fit the model,1256.0
Qwen/Qwen2.5-7B-Instruct,0,122.0,276.0,540.0,725.0,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Qwen,2024-09-16 11:55:40+00:00,Fit the model,1229.0
Qwen/Qwen2-1.5B-Instruct,0,54.0,101.0,193.0,726.0,766.0,813.0,895.0,1148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.096362775574521,2.5708709294694072e-17,4.93108679062924,False,Original,Qwen,2024-06-03 09:08:12+00:00,Fit the model,1148.0
Qwen/Qwen2.5-0.5B,0,55.0,131.0,240.0,634.0,1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,Qwen,2024-09-15 12:15:39+00:00,Fit the model,1081.0
Qwen/Qwen2-0.5B,0,121.0,227.0,317.0,494.0,634.0,680.0,792.0,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,36839.68560485622,78.29589648212959,22.126381206688897,True,Original,Qwen,2024-05-31 08:38:11+00:00,Does not fit,1051.0
Qwen/Qwen2-7B-Instruct,0,146.0,197.0,265.0,354.0,451.0,547.0,654.0,1043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,431097.4742534868,79.44341490882917,19.19176247742884,True,Original,Qwen,2024-06-04 10:07:03+00:00,Does not fit,1043.0
