model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
Salesforce/BLIP,0,8.0,12.0,24.0,32.0,45.0,66.0,98.0,113.0,137.0,166.0,205.0,234.0,257.0,286.0,318.0,360.0,405.0,473.0,521.0,552.0,594.0,608.0,631.0,722.0,822.0,843.0,,,,,,,,,11.64205858607184,0.2334905314807161,2.7320512351056645,False,Original,Salesforce,2022-11-28 01:47:44+00:00,Fit the model,843.0
Salesforce/codegen-350M-mono,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,7.0,8.0,13.0,18.0,18.0,20.0,27.0,39.0,44.0,47.0,57.0,79.0,114.0,120.0,136.0,145.0,146.0,167.0,171.0,173.0,175.0,176.0,186.0,187.0,5.300544892645686,0.2583646061593313,0.3402809882844129,False,Original,Salesforce,2022-04-11 16:18:21+00:00,Fit the model,187.0
Salesforce/blip-image-captioning-base,0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,8.0,11.0,20.0,22.0,23.0,24.0,27.0,30.0,31.0,33.0,41.0,44.0,47.0,47.0,48.0,55.0,59.0,59.0,63.0,,,,,,,,,6.157854509058906,1.0326657158844206e-17,1.6668940771465497,False,Original,Salesforce,2022-12-12 15:19:02+00:00,Fit the model,63.0
Salesforce/codegen-2B-mono,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,24.0,37.0,54.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,4.079652941254197,0.5458968105109206,0.07956491239970624,False,Original,Salesforce,2022-04-11 23:18:40+00:00,Fit the model,59.0
Salesforce/codet5p-220m,0,1.0,2.0,8.0,10.0,10.0,11.0,11.0,14.0,21.0,25.0,28.0,31.0,32.0,34.0,35.0,38.0,39.0,41.0,42.0,42.0,43.0,,,,,,,,,,,,,,6.680288364016325,2.0320953713171564e-17,2.802012811457239,False,Original,Salesforce,2023-05-13 10:34:57+00:00,Fit the model,43.0
Salesforce/blip2-opt-2.7b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,15.0,20.0,21.0,30.0,31.0,32.0,33.0,33.0,33.0,33.0,35.0,35.0,36.0,36.0,,,,,,,,,,,5.682056421671077,1.168713858955508e-20,1.6141810571986446,False,Original,Salesforce,2023-02-06 16:21:49+00:00,Fit the model,36.0
Salesforce/codet5p-770m,0,4.0,7.0,7.0,7.0,7.0,7.0,10.0,12.0,15.0,16.0,17.0,18.0,18.0,24.0,24.0,24.0,27.0,27.0,29.0,30.0,32.0,,,,,,,,,,,,,,174955.97817504086,59.083468006619015,14.250421139359089,True,Original,Salesforce,2023-05-13 13:34:17+00:00,Does not fit,32.0
Salesforce/xLAM-1b-fc-r,0,14.0,18.0,20.0,24.0,26.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.126064977212253,2.3216460272928033e-14,8.178798070968277,False,Original,Salesforce,2024-07-17 19:04:36+00:00,Fit the model,28.0
Salesforce/blip-image-captioning-large,0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,7.0,9.0,9.0,10.0,12.0,14.0,14.0,14.0,16.0,17.0,19.0,21.0,21.0,24.0,24.0,24.0,25.0,27.0,,,,,,,,,4.834977723042031,3.104791185655886e-19,1.5465472757324479,False,Original,Salesforce,2022-12-13 11:27:40+00:00,Fit the model,27.0
Salesforce/codegen-2B-multi,0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,10.0,10.0,17.0,17.0,19.0,20.0,20.0,20.0,21.0,24.0,24.0,24.0,24.0,5.715548092004463,0.7804176075757504,1.2921213501101976,False,Original,Salesforce,2022-04-11 23:18:25+00:00,Fit the model,24.0
