model,0-month,1-month,2-month,3-month,4-month,5-month,6-month,7-month,8-month,9-month,10-month,11-month,12-month,13-month,14-month,15-month,16-month,17-month,18-month,19-month,20-month,21-month,22-month,23-month,24-month,25-month,26-month,27-month,28-month,29-month,30-month,31-month,32-month,33-month,34-month,lambda_i,mu_i,sigma_i,approx_condition,base_model,company,created_at,approx_cond_label,sort_key
stabilityai/stable-diffusion-xl-base-1.0,0,371.0,998.0,1239.0,1555.0,2111.0,2653.0,3010.0,3284.0,3642.0,4151.0,4574.0,4900.0,5119.0,5479.0,5693.0,5897.0,6147.0,6354.0,,,,,,,,,,,,,,,,,16.90091976561048,5.469121041075986e-11,7.856921644320102,False,Original,StabilityAI,2023-07-25 13:25:51+00:00,Fit the model,6354.0
stabilityai/stable-diffusion-2-1-base,0,0.0,9.0,31.0,78.0,90.0,111.0,117.0,123.0,135.0,142.0,162.0,196.0,209.0,217.0,231.0,239.0,269.0,326.0,472.0,528.0,535.0,582.0,634.0,639.0,645.0,653.0,,,,,,,,,45682.44954695007,50.20832922189473,13.635134468482669,True,Original,StabilityAI,2022-12-06 17:25:36+00:00,Does not fit,653.0
stabilityai/stable-diffusion-2-1,0,8.0,13.0,17.0,28.0,37.0,50.0,60.0,93.0,104.0,125.0,158.0,248.0,254.0,373.0,386.0,401.0,413.0,416.0,422.0,431.0,450.0,457.0,468.0,495.0,510.0,513.0,,,,,,,,,10.856458908264855,6.585158463192518e-18,3.591367598581639,False,Original,StabilityAI,2022-12-06 17:24:51+00:00,Fit the model,513.0
stabilityai/stable-diffusion-2,0,8.0,9.0,18.0,21.0,32.0,35.0,43.0,58.0,69.0,84.0,110.0,114.0,125.0,128.0,132.0,138.0,142.0,145.0,191.0,195.0,201.0,225.0,233.0,249.0,258.0,264.0,,,,,,,,,9.259494959525377,7.167223176811261e-10,2.926183753982245,False,Original,StabilityAI,2022-11-23 11:54:34+00:00,Fit the model,264.0
stabilityai/stable-diffusion-3.5-large,0,141.0,203.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,StabilityAI,2024-10-22 07:29:57+00:00,Fit the model,254.0
stabilityai/stable-diffusion-3-medium-diffusers,0,90.0,103.0,158.0,181.0,192.0,210.0,228.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.457448101780608,2.6237505217740464e-18,8.749578337175837,False,Original,StabilityAI,2024-06-12 16:21:22+00:00,Fit the model,250.0
stabilityai/stablelm-zephyr-3b,0,7.0,19.0,30.0,174.0,181.0,186.0,187.0,198.0,202.0,204.0,207.0,208.0,211.0,212.0,,,,,,,,,,,,,,,,,,,,,10.815540729579961,2.8058562415224046e-17,7.3738774979707085,False,Original,StabilityAI,2023-11-21 16:25:10+00:00,Fit the model,212.0
stabilityai/sdxl-turbo,0,27.0,38.0,46.0,51.0,57.0,70.0,75.0,81.0,90.0,98.0,102.0,109.0,111.0,113.0,,,,,,,,,,,,,,,,,,,,,61.47925882432188,19.579684250924053,13.669820714733806,True,Original,StabilityAI,2023-11-27 15:19:11+00:00,Does not fit,113.0
stabilityai/stable-diffusion-3-medium,0,18.0,33.0,53.0,73.0,88.0,92.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.837361633368978,5.417934876903863e-15,5.889240729789174,False,Original,StabilityAI,2024-05-30 07:38:13+00:00,Fit the model,92.0
stabilityai/stable-diffusion-3.5-medium,0,37.0,56.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,0.5,False,Original,StabilityAI,2024-10-29 10:27:32+00:00,Fit the model,69.0
